id;display_name;manufacturer;name;powder_type_normalized;grain_shape_normalized;burn_rate;relative_burn_rate;quickload_ba_value;qex_kj_per_kg;k_ratio;a0;z1;z2;eta_cm3_per_kg;pc_kg_m3;pcd_kg_m3;pt_c;density_gcc;grain_size_mm;temp_stable;temp_coefficient_fps_per_f;loading_density_optimal_percent;velocity_potential;optimal_bullet_weight_range;suitable_for_cartridges;usable_for_simulation;validation_status;lot_number;source_display;evidence_level;notes
40;Accurate Nitro 100;Accurate;Nitro 100;;;4.8313;4.8313;4.8313;4890.0;1.2088;1.2335;0.1099;0.7976;1.0;1510.0;480.0;21.0;;;1;;;;;;1;memory_extracted;2019-08;Internal reference seed;memory_extracted;Imported from internal reference seed.
41;Accurate No 2;Accurate;No 2;;;3.6524;3.6524;3.6524;4530.0;1.2113;-0.4081;0.1119;0.7879;1.0;980.0;610.0;21.0;;;1;;;;;;1;memory_extracted;2019-07;Internal reference seed;memory_extracted;Imported from internal reference seed.
42;Accurate No 5;Accurate;No 5;;;2.3541;2.3541;2.3541;4200.0;1.2137;0.8718;0.1844;0.8455;1.0;1490.0;950.0;21.0;;;1;;;;;;1;memory_extracted;2020-04-30;Internal reference seed;memory_extracted;Imported from internal reference seed.
43;Accurate No 7;Accurate;No 7;;;1.5209;1.5209;1.5209;4210.0;1.2308;-0.3874;0.5782;0.8348;1.0;1520.0;999.0;21.0;;;1;;;;;;1;memory_extracted;2019-12-03;Internal reference seed;memory_extracted;Imported from internal reference seed.
44;Accurate No 9;Accurate;No 9;;;1.3729;1.3729;1.3729;4000.0;1.2292;1.2833;0.2873;0.8144;1.0;1570.0;986.0;21.0;;;1;;;;;;1;memory_extracted;2019-07;Internal reference seed;memory_extracted;Imported from internal reference seed.
45;Accurate Solo 1000 (approx.);Accurate;Solo 1000 (approx.);;;4.8022;4.8022;4.8022;4250.0;1.2239;1.8999;0.1194;0.7985;1.0;1600.0;510.0;21.0;;;1;;;;;;1;memory_extracted;2019-08;Internal reference seed;memory_extracted;Imported from internal reference seed.
46;Accurate Solo 1250 (approx.);Accurate;Solo 1250 (approx.);;;3.5766;3.5766;3.5766;4070.0;1.2279;0.1487;0.3798;0.8248;1.0;1400.0;550.0;21.0;;;1;;;;;;1;memory_extracted;2019-07;Internal reference seed;memory_extracted;Imported from internal reference seed.
56;Alliant 1200-R;Alliant;1200-R;;;0.7309;0.7309;0.7309;3750.0;1.2287;2.1404;0.3917;0.8296;1.0;1540.0;885.0;21.0;;;1;;;;;;1;memory_extracted;2021-04-02;Internal reference seed;memory_extracted;Imported from internal reference seed.
57;Alliant 2000-MR;Alliant;2000-MR;;;0.4491;0.4491;0.4491;3960.0;1.2322;1.5091;0.5217;0.8013;1.0;1580.0;1050.0;21.0;;;1;;;;;;1;memory_extracted;2020-02-02;Internal reference seed;memory_extracted;Imported from internal reference seed.
58;Alliant 2400;Alliant;2400;;;1.2744;1.2744;1.2744;3780.0;1.2317;3.0169;0.2942;0.8987;1.0;1600.0;845.0;21.0;;;1;;;;;;1;memory_extracted;2020-04-30;Internal reference seed;memory_extracted;Imported from internal reference seed.
59;Alliant AR-Comp;Alliant;AR-Comp;;;0.6341;0.6341;0.6341;3710.0;1.2372;1.0411;0.4972;0.8129;1.0;1520.0;932.0;21.0;;;1;;;;;;1;memory_extracted;2019-12-17;Internal reference seed;memory_extracted;Imported from internal reference seed.
