raw_id,source_id,record_type,record_index,load_title,record_json
11,5,caliber,1,".30-06 Spring. HXP 77 (30-06 Springfield, 30-06, 7,62 x 63) PPU, PPB30MC150, 0.308, 150.00 grain IMR 4166","{""Aeff"": ""47.548291999999996"", ""CaliberName"": "".30-06 Spring. HXP 77 (30-06 Springfield, 30-06, 7,62 x 63)"", ""Dz"": ""7.823199999999999"", ""caselen"": ""63.350139999999996"", ""casevol"": ""4.613230537146889"", ""method"": ""Piezo CIP"", ""oal"": ""84.581999999999994"", ""pMaxZul"": ""4049.980434006794"", ""ps"": ""250.00389945026618"", ""sebert"": ""0.55"", ""shotshell"": ""false""}"
12,5,caliberfile,1,".30-06 Spring. HXP 77 (30-06 Springfield, 30-06, 7,62 x 63) PPU, PPB30MC150, 0.308, 150.00 grain IMR 4166","{""E"": ""3.16"", ""E1"": ""10.39"", ""EE"": ""4335.00"", ""Emin"": ""0.84"", ""FG"": ""0.00"", ""G1"": ""7.85"", ""G2"": ""0.00"", ""H1"": ""8.63"", ""H2"": ""8.63"", ""L0"": ""0.00"", ""L1"": ""49.49"", ""L2"": ""53.56"", ""L3"": ""63.35"", ""L3G"": ""69.54"", ""L4"": ""0.00"", ""L5"": ""0.00"", ""L6"": ""84.84"", ""M"": ""25"", ""P0"": ""0.00"", ""P1"": ""11.96"", ""P2"": ""11.20"", ""PE"": ""5060.00"", ""PK"": ""4658.00"", ""Pmax"": ""4050.00"", ""R"": ""1.24"", ""R1"": ""12.01"", ""R3"": ""0.00"", ""S"": ""67.25"", ""V"": ""70.70"", ""alpha"": ""35.00"", ""altname"": ""30-06 Springfield, 30-06, 7,62 x 63"", ""beta"": ""35.00"", ""c_E"": ""3.16"", ""c_F"": ""7.62"", ""c_Fe"": ""0.10"", ""c_Fe_auto"": ""0.00"", ""c_Fe_proof"": ""0.00"", ""c_G"": ""6.19"", ""c_G1"": ""7.89"", ""c_H1"": ""8.70"", ""c_H2"": ""8.65"", ""c_L0"": ""0.00"", ""c_L1"": ""49.27"", ""c_L2"": ""53.36"", ""c_L3"": ""63.55"", ""c_N"": ""4.00"", ""c_P0"": ""0.00"", ""c_P1"": ""11.99"", ""c_P2"": ""11.24"", ""c_Q"": ""47.55"", ""c_R"": ""0.00"", ""c_R1"": ""12.04"", ""c_R2"": ""0.00"", ""c_R3"": ""0.00"", ""c_S"": ""67.37"", ""c_Z"": ""7.82"", ""c_alpha"": ""34.50"", ""c_alpha1"": ""71.42"", ""c_b_"": ""4.49"", ""c_delta"": ""0.00"", ""c_h_"": ""0.53"", ""c_i_"": ""1.37"", ""c_r1max"": ""1.27"", ""c_r2_"": ""3.05"", ""c_r_"": ""0.00"", ""c_s_"": ""0.00"", ""c_u_"": ""254.00"", ""c_w_"": ""0.00"", ""cby"": ""local_user"", ""cdate"": ""2020-12-27"", ""cipdate"": ""1984-06-14"", ""cipname"": "".30-06 Spring. HXP 77"", ""ciporigin"": ""US"", ""cippdf"": ""https://bobp.cip-bobp.org/uploads/tdcc/tab-i/tabical-en-page111.pdf"", ""ciprevdate"": ""2008-09-23"", ""ciptype"": ""1 rimless"", ""delta"": ""36.00"", ""descr"": """", ""f"": ""0.38"", ""mby"": ""local_user"", ""mdate"": """", ""mode"": ""userfile"", ""origin"": ""cip-bobp.org"", ""r1min"": ""1.27"", ""r2"": ""2.54"", ""sebert"": ""0.55"", ""standard"": ""User Meas."", ""status"": """", ""type"": """"}"
13,5,measurement,1,".30-06 Spring. HXP 77 (30-06 Springfield, 30-06, 7,62 x 63) PPU, PPB30MC150, 0.308, 150.00 grain IMR 4166","{""charges"": [{""name"": ""150.00 grain"", ""shots"": [{""pressure"": 3517.7846038419725, ""velocity"": 862.2792000000062}, {""pressure"": 3337.7411514045143, ""velocity"": 862.2792000000062}, {""pressure"": 3463.7632741444045, ""velocity"": 858.0120000000061}, {""pressure"": 3452.6767315624065, ""velocity"": 851.3064000000061}, {""pressure"": 3502.832872331387, ""velocity"": 857.4024000000061}], ""value"": 0.003304744409987}, {""name"": ""150.00 grain"", ""shots"": [{""pressure"": 3988.226121137305, ""velocity"": 919.5816000000066}, {""pressure"": 3934.311807640687, ""velocity"": 918.9720000000066}, {""pressure"": 3902.839227099569, ""velocity"": 921.1056000000066}, {""pressure"": 3894.997967866767, ""velocity"": 927.8112000000066}, {""pressure"": 3963.7619245254677, ""velocity"": 925.0680000000066}], ""value"": 0.003563940049986}], ""title"": ""Measurement MagnetoSpeed/PTII""}"
14,6,projectile,1,"6.5 Creedmoor Starline LR Hornady, ELD-M #26175, 0.264, 120.00 grain IMR 4166","{""Dbul"": ""6.7056"", ""ProjectileName"": ""Hornady, ELD-M #26175, 0.264, 120.00 grain"", ""g1bc"": ""0.458"", ""g7bc"": ""0"", ""gTailDiaA"": ""6.700519999999999"", ""gTailDiaB"": ""5.08"", ""gTailType"": ""2"", ""gUBCS"": """", ""gdepth"": ""8.181340000000009"", ""gfriction"": ""0"", ""gfrictionUnlock"": ""false"", ""glen"": ""30.530799999999996"", ""gpressure"": ""172"", ""gtailh"": ""3.56108"", ""lotid"": ""2019"", ""mname"": ""Hornady"", ""mode"": ""userfile"", ""mp"": ""7.775869199970489"", ""pname"": ""ELD-M #26175""}"
15,6,propellant,1,"6.5 Creedmoor Starline LR Hornady, ELD-M #26175, 0.264, 120.00 grain IMR 4166","{""Ba"": ""0.602"", ""Qex"": ""3860"", ""a0"": ""1.0792"", ""eta"": ""1"", ""imageUuid"": ""8b924457b20bbd8fa1a670f9974fca5a"", ""k"": ""1.2333"", ""laddercnt"": ""2"", ""laddermc"": ""0.129597819999508"", ""lotid"": ""2020-03-02"", ""mc"": ""2.656755309989917"", ""mname"": ""IMR"", ""pc"": ""1550"", ""pcd"": ""900"", ""pname"": ""4166"", ""pt"": ""10"", ""tcc"": ""0"", ""tch"": ""0"", ""z1"": ""0.2945"", ""z2"": ""0.7945""}"
16,6,caliber,1,"6.5 Creedmoor Starline LR Hornady, ELD-M #26175, 0.264, 120.00 grain IMR 4166","{""Aeff"": ""34.645091999999998"", ""CaliberName"": ""6.5 Creedmoor Starline LR"", ""Dz"": ""6.7056"", ""caselen"": ""48.770539999999997"", ""casevol"": ""3.47242180333027"", ""method"": ""Piezo CIP"", ""oal"": ""71.11999999999999"", ""pMaxZul"": ""4349.9713238325276"", ""ps"": ""250.00389945026618"", ""sebert"": ""0.5"", ""shotshell"": ""false""}"
17,6,caliberfile,1,"6.5 Creedmoor Starline LR Hornady, ELD-M #26175, 0.264, 120.00 grain IMR 4166","{""E"": ""3.84"", ""E1"": ""10.39"", ""EE"": ""3400.00"", ""Emin"": ""1.40"", ""FG"": ""0.00"", ""G1"": ""6.72"", ""G2"": ""0.00"", ""H1"": ""7.49"", ""H2"": ""7.49"", ""L0"": ""0.00"", ""L1"": ""37.84"", ""L2"": ""41.52"", ""L3"": ""48.77"", ""L3G"": ""58.42"", ""L4"": ""0.00"", ""L5"": ""0.00"", ""L6"": ""71.76"", ""M"": ""25"", ""P0"": ""0.00"", ""P1"": ""11.95"", ""P2"": ""11.74"", ""PE"": ""5438.00"", ""PK"": ""5003.00"", ""Pmax"": ""4350.00"", ""R"": ""1.37"", ""R1"": ""12.01"", ""R3"": ""0.00"", ""S"": ""48.01"", ""V"": ""53.80"", ""alpha"": ""60.00"", ""altname"": """", ""beta"": ""35.00"", ""c_E"": ""3.84"", ""c_F"": ""6.50"", ""c_Fe"": ""0.10"", ""c_Fe_auto"": ""0.00"", ""c_Fe_proof"": ""0.00"", ""c_G"": ""9.65"", ""c_G1"": ""6.72"", ""c_H1"": ""7.54"", ""c_H2"": ""7.52"", ""c_L0"": ""0.00"", ""c_L1"": ""37.76"", ""c_L2"": ""41.42"", ""c_L3"": ""48.90"", ""c_N"": ""6.00"", ""c_P0"": ""0.00"", ""c_P1"": ""11.98"", ""c_P2"": ""11.76"", ""c_Q"": ""34.66"", ""c_R"": ""0.00"", ""c_R1"": ""12.01"", ""c_R2"": ""0.00"", ""c_R3"": ""0.00"", ""c_S"": ""47.95"", ""c_Z"": ""6.71"", ""c_alpha"": ""60.00"", ""c_alpha1"": ""90.00"", ""c_b_"": ""2.29"", ""c_delta"": ""0.00"", ""c_h_"": ""0.40"", ""c_i_"": ""1.50"", ""c_r1max"": ""0.76"", ""c_r2_"": ""3.18"", ""c_r_"": ""0.00"", ""c_s_"": ""5.45"", ""c_u_"": ""203.00"", ""c_w_"": ""0.00"", ""cby"": ""REFERENCE"", ""cdate"": ""2020-12-25"", ""cipdate"": ""2012-05-30"", ""cipname"": ""6.5 Creedmoor"", ""ciporigin"": ""US"", ""cippdf"": ""https://bobp.cip-bobp.org/uploads/tdcc/tab-i/6-5-creedmoor-en.pdf"", ""ciprevdate"": ""1900-01-01"", ""ciptype"": ""1 rimless"", ""delta"": ""36.00"", ""descr"": """", ""f"": ""0.38"", ""mby"": """", ""mdate"": """", ""mode"": """", ""origin"": ""cip-bobp.org"", ""r1min"": ""0.76"", ""r2"": ""3.18"", ""sebert"": ""0.50"", ""standard"": ""CIP"", ""status"": """", ""type"": """"}"
18,6,measurement,1,"6.5 Creedmoor Starline LR Hornady, ELD-M #26175, 0.264, 120.00 grain IMR 4166","{""charges"": [{""name"": ""Charge 1"", ""shots"": [{""pressure"": 0.0, ""velocity"": 872.6424000000062}, {""pressure"": 0.0, ""velocity"": 876.6048000000062}, {""pressure"": 0.0, ""velocity"": 870.2040000000062}, {""pressure"": 0.0, ""velocity"": 871.1184000000062}, {""pressure"": 0.0, ""velocity"": 868.6800000000062}], ""value"": 0.00252715748999}, {""name"": ""Charge 2"", ""shots"": [{""pressure"": 0.0, ""velocity"": 910.1328000000065}, {""pressure"": 0.0, ""velocity"": 916.8384000000066}, {""pressure"": 0.0, ""velocity"": 913.7904000000066}, {""pressure"": 0.0, ""velocity"": 903.4272000000065}, {""pressure"": 0.0, ""velocity"": 909.8280000000065}], ""value"": 0.00265675530999}], ""title"": ""Measurement MagnetoSpeed""}"
19,7,projectile,1,"6.5 Creedmoor Starline LP Hornady, BTHP 26335, 0.264, 140.00 grain IMR 4166","{""Dbul"": ""6.7056"", ""ProjectileName"": ""Hornady, BTHP 26335, 0.264, 140.00 grain"", ""g1bc"": ""0.58"", ""g7bc"": ""0"", ""gTailDiaA"": ""6.700519999999999"", ""gTailDiaB"": ""5.10032"", ""gTailType"": ""2"", ""gUBCS"": """", ""gdepth"": ""10.843259999999994"", ""gfriction"": ""0"", ""gfrictionUnlock"": ""false"", ""glen"": ""33.832799999999999"", ""gpressure"": ""250"", ""gtailh"": ""3.79984"", ""lotid"": ""2019"", ""mname"": ""Hornady"", ""mode"": ""0"", ""mp"": ""9.07184739996557"", ""pname"": ""BTHP 26335""}"
20,7,propellant,1,"6.5 Creedmoor Starline LP Hornady, BTHP 26335, 0.264, 140.00 grain IMR 4166","{""Ba"": ""0.602"", ""Qex"": ""3860"", ""a0"": ""1.0792"", ""eta"": ""1"", ""imageUuid"": ""8b924457b20bbd8fa1a670f9974fca5a"", ""k"": ""1.2333"", ""laddercnt"": ""2"", ""laddermc"": ""0.129597819999508"", ""lotid"": ""2020-03-02"", ""mc"": ""2.514197707990458"", ""mname"": ""IMR"", ""pc"": ""1550"", ""pcd"": ""900"", ""pname"": ""4166"", ""pt"": ""10"", ""tcc"": ""0"", ""tch"": ""0"", ""z1"": ""0.2945"", ""z2"": ""0.7945""}"
