caliber_name,alt_name,standard_body,standard_label,pressure_method,max_pressure_psi,oal_mm,case_length_mm,case_capacity_ml,bullet_diameter_mm,neck_diameter_mm,shoulder_diameter_mm,base_diameter_mm,rim_diameter_mm,freebore_mm,throat_angle_deg,drawing_pdf_url,source,source_kind,evidence_level,user_defined,notes
223 Remington,.223 Remington,SAAMI,SAAMI Z299.4-2025,Transducer,55000,57.40,44.70,,5.70,6.48,9.13,9.57,9.66,,3.1767,https://saami.org/wp-content/uploads/2025/02/SAAMI-Z299.4-CFR-2025-Centerfire-Rifle-Approved-2-10-2025.pdf,https://saami.org/technical-information/ansi-saami-standards/,official_saami,official_standard,0,"Offisiell SAAMI-rad. Dimensjoner fra 2025 rifle drawing; MAP 55,000 psi fra SAAMI velocity/pressure table."
30-06 Springfield,30-06 Sprg,SAAMI,SAAMI Z299.4-2025,Transducer,60000,84.84,63.35,,7.85,8.70,11.24,11.28,12.04,,,https://saami.org/wp-content/uploads/2025/03/SAAMI-Z299.4-CFR-2025-Centerfire-Rifle-Approved-2-10-2025.pdf,https://saami.org/technical-information/ansi-saami-standards/,official_saami,official_standard,0,"Offisiell SAAMI-rad. MAP 60,000 psi fra SAAMI transducer calibration table; grunnmål løftet fra 2025 cartridge/chamber drawing."
300 AAC Blackout,300 BLK,SAAMI,SAAMI Z299.4-2025,Transducer,55000,57.40,34.75,,7.85,8.51,9.22,9.57,9.66,,1.5000,https://saami.org/wp-content/uploads/2025/03/SAAMI-Z299.4-CFR-2025-Centerfire-Rifle-Approved-2-10-2025.pdf,https://saami.org/technical-information/ansi-saami-standards/,official_saami,official_standard,0,"Offisiell SAAMI-rad. Dimensjoner fra 2025 rifle drawing; MAP 55,000 psi fra SAAMI velocity/pressure table."
6.5 Creedmoor,6.5 CM,SAAMI,SAAMI Z299.4-2025,Transducer,62000,71.76,48.77,,6.72,7.54,11.78,11.97,12.01,,1.5000,https://saami.org/wp-content/uploads/2025/04/SAAMI-Z299.4-CFR-2025-Centerfire-Rifle-Approved-2-10-2025.pdf,https://saami.org/technical-information/ansi-saami-standards/,official_saami,official_standard,0,"Offisiell SAAMI-rad. Dimensjoner fra 2025 rifle drawing; MAP 62,000 psi fra SAAMI pressure range table."
308 Winchester,.308 Winchester,SAAMI,SAAMI Z299.4-2025,Transducer,62000,71.37,51.18,,7.85,8.79,11.59,11.97,12.04,,1.7500,https://saami.org/wp-content/uploads/2025/03/SAAMI-Z299.4-CFR-2025-Centerfire-Rifle-Approved-2-10-2025.pdf,https://saami.org/technical-information/ansi-saami-standards/,official_saami,official_standard,0,"Offisiell SAAMI-rad. Dimensjoner fra 2025 rifle drawing; MAP 62,000 psi fra SAAMI velocity/pressure table."
