powder_id,manufacturer,name,burn_rate,density,temperature_c,source_label,raw_json
1,IMR,4166,0.602,0.9,12.778,load_snapshot:30-06_168_hhpbt_imr4166_3.330_oal_2x2_1.load,"{""Ba"": ""0.602"", ""Qex"": ""3860"", ""a0"": ""1.0792"", ""eta"": ""1"", ""imageUuid"": ""8b924457b20bbd8fa1a670f9974fca5a"", ""k"": ""1.2333"", ""laddercnt"": ""2"", ""laddermc"": ""0.259195639999016"", ""lotid"": ""2020-03-02"", ""mc"": ""3.434342229986966"", ""mname"": ""IMR"", ""pc"": ""1550"", ""pcd"": ""900"", ""pname"": ""4166"", ""pt"": ""12.777777777777777"", ""tcc"": ""0"", ""tch"": ""0"", ""z1"": ""0.2945"", ""z2"": ""0.7945""}"
2,Vihtavuori,N540,0.5816,0.94,21.0,load_snapshot:powder-measure-template.load,"{""Ba"": ""0.5816"", ""Qex"": ""4000"", ""a0"": ""1.4074"", ""eta"": ""1"", ""imageUuid"": """", ""k"": ""1.2131"", ""laddercnt"": ""5"", ""laddermc"": ""0.064798909999754"", ""lotid"": ""2020-08-01"", ""mc"": ""2.656755309989917"", ""mname"": ""Vihtavuori"", ""pc"": ""1620"", ""pcd"": ""940"", ""pname"": ""N540"", ""po"": ""98066.5"", ""pt"": ""21"", ""tcc"": ""0"", ""tch"": ""0"", ""z1"": ""0.4882"", ""z2"": ""0.8341""}"

